elapsed_min,pressure_hpa,temperature_c,gps_alt_km
20.75,626.04,35.28,4.136
20.91667,621.9,35.26,4.192
21.08333,618.35,35.24,4.233
21.25,614.27,35.22,4.2915
21.41667,610.45,35.19,4.34
21.58333,606.36,35.16,4.403
21.75,602.26,35.13,4.457
21.91667,598.4,35.11,4.507
22.08333,594.33,35.08,4.561
22.25,590.28,35.05,4.615
22.41667,586.32,35.02,4.666
22.58333,581.8,34.98,4.735
22.75,577.565,34.95,4.794
22.91667,573.05,34.92,4.854
23.08333,568.95,34.89,4.922
23.25,564.43,34.85,4.976
23.41667,560.17,34.82,5.028
23.58333,556,34.79,5.089
23.75,551.33,34.75,5.161
23.91667,547.19,34.72,5.228
24.08333,542.43,34.67,5.2925
24.25,538.05,34.64,5.355
24.41667,533.89,34.61,5.417
24.58333,529.52,34.57,5.489
24.75,525.44,34.53,5.553
24.91667,521.28,34.49,5.6085
25.08333,517.08,34.45,5.668
25.25,512.57,34.41,5.735
25.41667,508.125,34.375,5.803
25.58333,504.33,34.34,5.8625
25.75,500.52,34.3,5.923
25.91667,496.65,34.27,5.982
26.08333,492.6,34.23,6.0555
26.25,488.71,34.19,6.107
26.41667,484.76,34.16,6.161
26.58333,480.77,34.12,6.235
26.75,477.21,34.08,6.295
26.91667,473.29,34.04,6.357
27.08333,469.45,34,6.4135
27.25,465.82,33.95,6.475
27.41667,462.54,33.91,6.526
27.58333,458.97,33.87,6.5835
27.75,455.195,33.82,6.645
27.91667,451.52,33.78,6.707
28.08333,447.8,33.73,6.772
28.25,444.12,33.68,6.836
28.41667,440.56,33.63,6.896
28.58333,436.62,33.57,6.97
28.75,432.89,33.52,7.029
28.91667,429.58,33.47,7.091
29.08333,426.48,33.42,7.143
29.25,423.18,33.36,7.205
29.41667,420.01,33.31,7.256
29.58333,416.75,33.26,7.31
29.75,413.69,33.2,7.372
29.91667,410.51,33.15,7.425
30.08333,407.12,33.09,7.489
30.25,403.83,33.03,7.553
30.41667,400.38,32.98,7.6085
30.58333,397.26,32.92,7.668
30.75,394.13,32.87,7.728
30.91667,390.86,32.81,7.7955
31.08333,387.415,32.76,7.866
31.25,383.69,32.7,7.94
31.41667,380.53,32.64,7.996
31.58333,377.67,32.59,8.042
31.75,374.49,32.54,8.107
31.91667,371.49,32.48,8.168
32.08333,367.98,32.42,8.242
32.25,364.53,32.36,8.308
32.41667,361.56,32.31,8.365
32.58333,358.27,32.25,8.435
32.75,354.98,32.2,8.49
32.91667,352.08,32.14,8.557
33.08333,348.815,32.085,8.6225
33.25,345.28,32.03,8.686
33.41667,342.135,31.97,8.755
33.58333,339.22,31.91,8.815
33.75,335.86,31.85,8.892
33.91667,332.7,31.8,8.954
34.08333,329.85,31.75,9.022
34.25,326.76,31.69,9.083
34.41667,323.83,31.64,9.149
34.58333,320.56,31.58,9.221
34.75,317.95,31.53,9.274
34.91667,315.05,31.47,9.3405
35.08333,312.36,31.42,9.399
35.25,309.74,31.36,9.457
35.41667,306.93,31.31,9.527
35.58333,303.855,31.25,9.596
35.75,301.37,31.19,9.655
35.91667,298.59,31.13,9.715
36.08333,296.38,31.07,9.767
36.25,293.8,31.01,9.828
36.41667,291.04,30.96,9.892
36.58333,288.41,30.9,9.96
36.75,285.35,30.84,10.026
36.91667,282.76,30.78,10.091
37.08333,280.02,30.71,10.156
37.25,277.44,30.65,10.219
37.41667,274.8,30.59,10.29
37.58333,273,30.52,10.332
37.75,270.67,30.46,10.392
37.91667,268.14,30.4,10.4565
38.08333,265.65,30.33,10.516
38.25,263.2,30.27,10.582
38.41667,260.74,30.2,10.645
38.58333,258.67,30.14,10.697
38.75,256.69,30.07,10.751
38.91667,254.43,30.01,10.809
39.08333,251.26,29.94,10.89
39.25,248.59,29.88,10.959
39.41667,246.31,29.81,11.022
39.58333,244.22,29.74,11.083
39.75,242.09,29.67,11.14
39.91667,239.51,29.61,11.212
40.08333,237.8,29.535,11.258
40.25,235.27,29.47,11.328
40.41667,233.08,29.4,11.387
40.58333,230.58,29.33,11.458
40.75,228.72,29.25,11.51
40.91667,226.6,29.19,11.568
41.08333,224.395,29.12,11.636
41.25,221.93,29.06,11.707
41.41667,220.03,28.98,11.76
41.58333,218.15,28.91,11.818
41.75,216.43,28.84,11.874
41.91667,213.99,28.78,11.936
42.08333,211.52,28.72,12.011
42.25,209.64,28.65,12.071
42.41667,207.56,28.59,12.1375
42.58333,204.85,28.52,12.221
42.75,203.14,28.45,12.274
42.91667,201.64,28.39,12.32
43.08333,199.72,28.33,12.387
43.25,197.87,28.26,12.438
43.41667,195.88,28.2,12.508
43.58333,193.62,28.13,12.581
43.75,191.92,28.07,12.638
43.91667,190.32,28,12.69
44.08333,188.7,27.93,12.739
44.25,187.04,27.87,12.793
44.41667,184.97,27.805,12.864
44.58333,183.42,27.735,12.918
44.75,181.23,27.66,12.996
44.91667,179.81,27.59,13.043
45.08333,178.1,27.53,13.105
45.25,176.87,27.46,13.149
45.41667,175.57,27.39,13.198
45.58333,174.24,27.32,13.246
45.75,172.34,27.25,13.316
45.91667,170.81,27.18,13.371
46.08333,169.05,27.12,13.435
46.25,167.23,27.05,13.5
46.41667,165.83,26.98,13.557
46.58333,164.585,26.915,13.601
46.75,163.195,26.845,13.654
46.91667,161.87,26.78,13.701
47.08333,160.5,26.71,13.757
47.25,159.26,26.64,13.803
47.41667,157.21,26.58,13.882
47.58333,155.855,26.51,13.942
47.75,154.32,26.44,14.001
47.91667,152.78,26.37,14.065
48.08333,151.1,26.3,14.128
48.25,149.38,26.23,14.207
48.41667,147.86,26.16,14.266
48.58333,146.6,26.1,14.321
48.75,144.95,26.02,14.394
48.91667,143.57,25.96,14.45
49.08333,142.35,25.89,14.507
49.25,140.93,25.82,14.565
49.41667,139.1,25.75,14.646
49.58333,137.76,25.68,14.715
49.75,135.94,25.61,14.798
49.91667,134.61,25.55,14.862
50.08333,133.27,25.48,14.919
50.25,132.13,25.41,14.974
50.41667,130.675,25.33,15.043
50.58333,128.98,25.27,15.128
50.75,127.37,25.2,15.202
50.91667,126.27,25.13,15.257
51.08333,124.73,25.06,15.3305
51.25,123.31,24.99,15.404
51.41667,121.66,24.92,15.479
51.58333,120.61,24.85,15.544
51.75,119.44,24.78,15.603
51.91667,118.15,24.71,15.666
52.08333,116.705,24.64,15.743
52.25,115.46,24.57,15.812
52.41667,114.06,24.5,15.891
52.58333,112.99,24.43,15.9475
52.75,111.82,24.35,16.013
52.91667,110.56,24.29,16.082
53.08333,109.01,24.22,16.178
53.25,108.02,24.15,16.23
53.41667,106.84,24.08,16.2985
53.58333,105.52,24.01,16.382
53.75,104.56,23.93,16.439
53.91667,103.33,23.88,16.515
54.08333,102.13,23.8,16.582
54.25,100.82,23.74,16.663
54.41667,99.74,23.67,16.739
54.58333,98.84,23.6,16.799
54.75,97.74,23.53,16.867
54.91667,96.6,23.48,16.937
55.08333,95.69,23.41,17.0035
55.25,94.37,23.35,17.082
55.41667,93.11,23.29,17.16
55.58333,92.23,23.22,17.233
55.75,91.475,23.16,17.2815
55.91667,90.71,23.1,17.338
56.08333,89.95,23.04,17.392
56.25,89.21,22.98,17.443
56.41667,88.36,22.92,17.5
56.58333,87.78,22.87,17.543
56.75,87,22.8,17.598
56.91667,86.38,22.75,17.643
57.08333,85.57,22.69,17.701
57.25,84.47,22.64,17.786
57.41667,83.605,22.58,17.8485
57.58333,82.72,22.53,17.919
57.75,81.71,22.48,17.988
57.91667,80.64,22.43,18.08
58.08333,79.84,22.37,18.142
58.25,79.1,22.32,18.199
58.41667,78.29,22.27,18.266
58.58333,77.39,22.22,18.334
58.75,76.42,22.17,18.414
58.91667,75.54,22.12,18.484
59.08333,74.63,22.07,18.568
59.25,73.72,22.02,18.649
59.41667,72.85,21.97,18.7185
59.58333,71.93,21.92,18.805
59.75,71.12,21.88,18.875
59.91667,70.32,21.82,18.947
60.08333,69.51,21.77,19.019
60.25,68.66,21.72,19.095
60.41667,67.8,21.67,19.174
60.58333,66.99,21.62,19.248
60.75,66.26,21.57,19.326
60.91667,65.55,21.52,19.4005
61.08333,64.81,21.47,19.476
61.25,64.04,21.42,19.551
61.41667,63.37,21.38,19.6145
61.58333,62.74,21.33,19.68
61.75,62.13,21.29,19.738
61.91667,61.47,21.24,19.813
62.08333,60.71,21.19,19.887
62.25,60.05,21.15,19.96
62.41667,59.26,21.1,20.04
62.58333,58.65,21.06,20.105
62.75,57.98,21.01,20.177
62.91667,57.22,20.96,20.265
63.08333,56.56,20.91,20.34
63.25,55.89,20.88,20.417
63.41667,55.15,20.83,20.489
63.58333,54.53,20.79,20.5705
63.75,53.93,20.75,20.639
63.91667,53.23,20.7,20.725
64.08333,52.61,20.66,20.809
64.25,51.92,20.61,20.875
64.41667,51.36,20.57,20.96
64.58333,50.75,20.53,21.028
64.75,50.095,20.49,21.11
64.91667,49.5,20.45,21.199
65.08333,48.85,20.41,21.269
65.25,48.26,20.37,21.36
65.41667,47.78,20.33,21.415
65.58333,47.22,20.29,21.493
65.75,46.66,20.25,21.568
65.91667,46.185,20.21,21.634
66.08333,45.7,20.17,21.704
66.25,45.15,20.13,21.781
66.41667,44.66,20.09,21.856
66.58333,44.12,20.06,21.928
66.75,43.59,20.02,22.005
66.91667,42.99,19.99,22.093
67.08333,42.51,19.96,22.164
67.25,42.05,19.92,22.243
67.41667,41.5,19.89,22.313
67.58333,41.1,19.85,22.3875
67.75,40.63,19.82,22.464
67.91667,40.16,19.79,22.5375
68.08333,39.67,19.75,22.619
68.25,39.16,19.72,22.6945
68.41667,38.7,19.69,22.777
68.58333,38.22,19.65,22.851
68.75,37.76,19.62,22.922
68.91667,37.31,19.59,23.014
69.08333,36.84,19.56,23.096
69.25,36.31,19.53,23.181
69.41667,35.95,19.5,23.244
69.58333,35.56,19.47,23.31
69.75,35.16,19.44,23.381
69.91667,34.72,19.41,23.4645
70.08333,34.23,19.38,23.551
70.25,33.85,19.35,23.629
70.41667,33.42,19.32,23.703
70.58333,33.1,19.3,23.771
70.75,32.71,19.27,23.842
70.91667,32.31,19.245,23.923
71.08333,31.98,19.22,23.986
71.25,31.67,19.2,24.055
71.41667,31.31,19.17,24.133
71.58333,30.96,19.15,24.197
71.75,30.625,19.12,24.266
71.91667,30.31,19.09,24.3345
72.08333,29.97,19.07,24.412
72.25,29.625,19.045,24.4825
72.41667,29.26,19.02,24.567
72.58333,28.93,19,24.64
72.75,28.59,18.98,24.712
72.91667,28.19,18.95,24.803
73.08333,27.84,18.93,24.869
73.25,27.52,18.91,24.949
73.41667,27.16,18.89,25.026
73.58333,26.87,18.86,25.098
73.75,26.565,18.84,25.172
73.91667,26.25,18.82,25.2445
74.08333,25.96,18.8,25.32
74.25,25.68,18.78,25.384
74.41667,25.43,18.76,25.455
74.58333,25.16,18.74,25.523
74.75,24.9,18.72,25.584
74.91667,24.61,18.71,25.656
75.08333,24.39,18.69,25.716
75.25,24.13,18.68,25.784
75.41667,23.87,18.66,25.856
75.58333,23.62,18.65,25.917
75.75,23.39,18.64,25.989
75.91667,23.16,18.63,26.045
76.08333,22.915,18.62,26.114
76.25,22.67,18.62,26.178
76.41667,22.45,18.61,26.246
76.58333,22.22,18.6,26.308
76.75,22.03,18.6,26.366
76.91667,21.78,18.59,26.435
77.08333,21.56,18.58,26.496
77.25,21.33,18.58,26.569
77.41667,21.09,18.58,26.645
77.58333,20.87,18.58,26.706
77.75,20.65,18.58,26.78
77.91667,20.46,18.58,26.834
78.08333,20.25,18.58,26.9
78.25,20.03,18.58,26.969
78.41667,19.84,18.59,27.037
78.58333,19.59,18.59,27.113
78.75,19.4,18.6,27.173
78.91667,19.17,18.6,27.247
79.08333,19.01,18.61,27.308
79.25,18.78,18.61,27.381
79.41667,18.6,18.62,27.449
79.58333,18.4,18.63,27.5145
79.75,18.205,18.64,27.582
79.91667,18.02,18.65,27.6445
80.08333,17.84,18.66,27.7105
80.25,17.655,18.67,27.779
80.41667,17.47,18.68,27.838
80.58333,17.3,18.69,27.911
80.75,17.13,18.71,27.97
80.91667,16.97,18.72,28.037
81.08333,16.8,18.74,28.095
81.25,16.63,18.75,28.158
81.41667,16.45,18.77,28.225
81.58333,16.29,18.78,28.281
81.75,16.14,18.8,28.352
81.91667,15.97,18.81,28.417
82.08333,15.82,18.82,28.479
82.25,15.65,18.83,28.551
82.41667,15.48,18.84,28.612
82.58333,15.31,18.85,28.685
82.75,15.16,18.86,28.746
82.91667,14.96,18.87,28.822
83.08333,14.83,18.88,28.894
83.25,14.66,18.89,28.961
83.41667,14.48,18.9,29.037
83.58333,14.31,18.91,29.101
83.75,14.18,18.92,29.176
83.91667,14.03,18.93,29.2435
84.08333,13.88,18.94,29.312
84.25,13.72,18.95,29.386
84.41667,13.58,18.96,29.45
84.58333,13.43,18.96,29.525
84.75,13.26,18.97,29.586
84.91667,13.13,18.97,29.66
85.08333,13.02,18.97,29.728
85.25,12.85,18.97,29.7925
85.41667,12.72,18.98,29.86
85.58333,12.62,18.98,29.918
85.75,12.47,18.98,29.979
85.91667,12.34,18.98,30.05
86.08333,12.22,18.98,30.111
86.25,12.11,18.99,30.181
86.41667,11.98,18.99,30.242
86.58333,11.84,18.99,30.313
86.75,11.74,19,30.372
86.91667,11.61,19,30.445
87.08333,11.49,19.01,30.512
87.25,11.375,19.02,30.5805
87.41667,11.25,19.02,30.649
87.58333,11.13,19.03,30.714
87.75,10.99,19.04,30.795
87.91667,10.9,19.04,30.861
88.08333,10.74,19.05,30.935
88.25,10.63,19.05,31.01
88.41667,10.53,19.06,31.078
88.58333,10.39,19.06,31.1535
88.75,10.28,19.07,31.223
88.91667,10.18,19.07,31.299
89.08333,10.07,19.08,31.372
89.25,9.97,19.08,31.432
89.41667,9.83,19.08,31.509
89.58333,9.75,19.08,31.577
89.75,9.63,19.09,31.648
89.91667,9.52,19.09,31.726
90.08333,9.43,19.09,31.789
90.25,9.3,19.09,31.872
90.41667,9.21,19.1,31.934
90.58333,9.13,19.1,32.009
90.75,9.03,19.11,32.076
90.91667,8.93,19.11,32.143
91.08333,8.84,19.12,32.213
91.25,8.75,19.13,32.281
91.41667,8.65,19.14,32.349
91.58333,8.56,19.15,32.409
91.75,8.47,19.16,32.486
91.91667,8.38,19.18,32.551
92.08333,8.3,19.19,32.62
92.25,8.21,19.2,32.694
92.41667,8.13,19.22,32.76
92.58333,8.04,19.23,32.825
92.75,7.95,19.25,32.897
92.91667,7.87,19.27,32.959
93.08333,7.8,19.29,33.027
93.25,7.72,19.3,33.094
93.41667,7.64,19.32,33.162
93.58333,7.56,19.33,33.237
93.75,7.46,19.35,33.3
93.91667,7.38,19.36,33.374
94.08333,7.31,19.37,33.432
94.25,7.24,19.38,33.507
94.41667,7.17,19.4,33.577
94.58333,7.09,19.41,33.64
94.75,7.015,19.43,33.712
94.91667,6.94,19.44,33.776
95.08333,6.88,19.46,33.8385
95.25,6.795,19.47,33.905
95.41667,6.73,19.49,33.972
95.58333,6.67,19.51,34.048
95.75,6.59,19.53,34.108
95.91667,6.5,19.54,34.183
96.08333,6.44,19.56,34.243
96.25,6.38,19.58,34.312
96.41667,6.33,19.6,34.378
96.58333,6.26,19.62,34.449
96.75,6.2,19.65,34.527
96.91667,6.13,19.67,34.59
97.08333,6.06,19.7,34.6645
97.25,5.99,19.72,34.731
97.41667,5.93,19.75,34.812
97.58333,5.86,19.77,34.88
97.75,5.81,19.79,34.95
97.91667,5.74,19.82,35.025
98.08333,5.67,19.83,35.09
98.25,5.62,19.86,35.172
98.41667,5.56,19.87,35.246
98.58333,5.48,19.89,35.314
98.75,5.43,19.91,35.389
98.91667,5.37,19.93,35.453
99.08333,5.31,19.94,35.527
99.25,5.25,19.96,35.599
99.41667,5.19,19.97,35.679
99.58333,5.14,19.99,35.751
99.75,5.1,20,35.813
99.91667,5.02,20,35.891
100.08333,4.96,20.02,35.956
100.25,4.92,20.03,36.027
100.41667,4.85,20.05,36.101
100.58333,4.805,20.07,36.1675
100.75,4.76,20.08,36.239
100.91667,4.7,20.1,36.298
101.08333,4.66,20.12,36.372
101.25,4.62,20.13,36.435
101.41667,4.57,20.16,36.5
101.58333,4.52,20.18,36.57
101.75,4.48,20.2,36.63
101.91667,4.43,20.23,36.703
102.08333,4.38,20.25,36.764
102.25,4.35,20.28,36.836
102.41667,4.29,20.31,36.903
102.58333,4.26,20.33,36.9665
102.75,4.22,20.36,37.036
102.91667,4.18,20.39,37.096
103.08333,4.125,20.42,37.162
103.25,4.09,20.44,37.234
103.41667,4.05,20.47,37.2995
103.58333,4.01,20.51,37.369
103.75,3.97,20.53,37.431
103.91667,3.93,20.57,37.507
104.08333,3.88,20.6,37.572
104.25,3.84,20.635,37.645
104.41667,3.79,20.67,37.722
104.58333,3.77,20.71,37.79
104.75,3.71,20.74,37.867
104.91667,3.68,20.78,37.932
105.08333,3.63,20.82,38.005
105.25,3.61,20.85,38.087
105.41667,3.56,20.89,38.1555
105.58333,3.53,20.93,38.23
105.75,3.51,20.96,38.293
105.91667,3.47,20.99,38.373
106.08333,3.4,21.02,38.436
106.25,3.44,21.06,38.401
106.41667,3.83,21.08,37.685
106.58333,4.38,21.11,36.827
106.75,5.06,21.14,35.881
106.91667,5.77,21.16,35.009
107.08333,6.6,21.19,34.2445
107.25,7.35,21.21,33.44
107.41667,8.25,21.24,32.793
107.58333,9.18,21.26,32.039
107.75,10.14,21.28,31.45
107.91667,11.16,21.31,30.792
108.08333,12.16,21.32,30.275
108.25,13.22,21.35,29.721
108.41667,14.47,21.37,29.135
108.58333,15.6,21.39,28.669
108.75,16.945,21.41,28.138
108.91667,18.22,21.43,27.63
109.08333,19.57,21.44,27.1825
109.25,21.06,21.46,26.706
109.41667,22.45,21.48,26.322
109.58333,23.92,21.49,25.885
109.75,25.46,21.51,25.52
109.91667,27.19,21.53,25.095
110.08333,28.66,21.54,24.774
110.25,30.18,21.56,24.429
110.41667,31.84,21.57,24.056
110.58333,33.47,21.58,23.753
110.75,35.05,21.6,23.422
110.91667,36.865,21.61,23.108
111.08333,38.64,21.62,22.831
111.25,40.49,21.63,22.5075
111.41667,42.3,21.64,22.231
111.58333,44.205,21.65,21.958
111.75,46.27,21.65,21.65
111.91667,48.22,21.66,21.379
112.08333,50.22,21.67,21.11
112.25,52.19,21.68,20.878
112.41667,54.4,21.68,20.6115
112.58333,56.42,21.69,20.374
112.75,58.695,21.69,20.1175
112.91667,61,21.69,19.862
113.08333,63.21,21.7,19.651
113.25,65.43,21.7,19.427
113.41667,67.77,21.7,19.205
113.58333,70.03,21.7,18.978
113.75,72.45,21.7,18.764
113.91667,74.77,21.7,18.55
114.08333,77.43,21.7,18.334
114.25,79.75,21.7,18.149
114.41667,82.43,21.69,17.931
114.58333,84.75,21.69,17.765
114.75,87.46,21.69,17.57
114.91667,90.42,21.68,17.351
115.08333,93.04,21.67,17.177
115.25,96.23,21.67,16.959
115.41667,99.11,21.66,16.779
115.58333,102.105,21.65,16.586
115.75,105.26,21.64,16.392
115.91667,108.28,21.63,16.21
116.08333,111.44,21.61,16.031
116.25,114.37,21.6,15.878
116.41667,117.75,21.59,15.683
116.58333,121.15,21.57,15.508
116.75,124.31,21.56,15.343
116.91667,127.68,21.54,15.18
117.08333,131.01,21.52,15.035
117.25,134.28,21.5,14.859
117.41667,137.75,21.48,14.7
117.58333,141.08,21.46,14.545
117.75,144.79,21.44,14.389
117.91667,148.35,21.41,14.235
118.08333,151.9,21.39,14.086
118.25,155.62,21.36,13.953
118.41667,159.14,21.33,13.803
118.58333,163.04,21.3,13.642
118.75,166.8,21.27,13.496
118.91667,170.51,21.23,13.358
119.08333,174.18,21.2,13.233
119.25,178.07,21.16,13.084
119.41667,182.04,21.13,12.959
119.58333,185.91,21.08,12.824
119.75,190.18,21.04,12.675
119.91667,194.24,21,12.54
120.08333,198.37,20.96,12.4135
120.25,202.42,20.91,12.292
120.41667,206.56,20.87,12.164
120.58333,210.74,20.82,12.028
120.75,214.76,20.77,11.916
120.91667,218.97,20.72,11.781
121.08333,222.96,20.67,11.671
121.25,227.19,20.61,11.538
121.41667,231.565,20.56,11.4235
121.58333,235.8,20.51,11.305
121.75,240.11,20.45,11.183
121.91667,244.2,20.39,11.068
122.08333,248.46,20.33,10.965
122.25,252.93,20.27,10.85
122.41667,257.175,20.215,10.7295
122.58333,261.67,20.16,10.611
122.75,265.85,20.1,10.51
122.91667,270.69,20.03,10.385
123.08333,275.08,19.97,10.282
123.25,279.7,19.9,10.158
123.41667,284.49,19.84,10.04
123.58333,289.18,19.78,9.9305
123.75,294.25,19.72,9.81
123.91667,298.99,19.66,9.709
124.08333,303.85,19.59,9.591
124.25,308.66,19.53,9.485
124.41667,313.51,19.45,9.377
124.58333,318.8,19.38,9.254
124.75,323.68,19.31,9.155
124.91667,328.83,19.24,9.036
125.08333,333.77,19.18,8.932
125.25,338.57,19.11,8.8275
125.41667,343.46,19.05,8.734
125.58333,348.61,18.99,8.627
125.75,353.49,18.92,8.519
125.91667,358.48,18.86,8.417
126.08333,363.63,18.8,8.322
126.25,368.87,18.72,8.211
126.41667,373.55,18.65,8.127
126.58333,378.34,18.57,8.025
126.75,383.03,18.49,7.943
126.91667,388.15,18.4,7.843
127.08333,392.92,18.32,7.756
127.25,398.17,18.26,7.657
127.41667,403.2,18.19,7.553
127.58333,408.47,18.13,7.463
127.75,413.51,18.07,7.367
127.91667,418.87,18,7.278
128.08333,424.04,17.93,7.183
128.25,429.09,17.86,7.098
128.41667,434.05,17.78,7.009
128.58333,439.6,17.71,6.909
128.75,444.7,17.62,6.828
128.91667,450.025,17.55,6.732
129.08333,454.63,17.48,6.662
129.25,460.04,17.41,6.565
129.41667,465.03,17.35,6.4855
129.58333,470.45,17.27,6.3985
129.75,475.76,17.21,6.311
129.91667,481.24,17.15,6.231
130.08333,486.92,17.09,6.142
130.25,491.96,17.03,6.055
130.41667,497.68,16.97,5.972
130.58333,503.07,16.91,5.879
130.75,508.72,16.85,5.79
130.91667,514.65,16.78,5.705
131.08333,519.85,16.7,5.631
131.25,525.62,16.62,5.538
131.41667,531.29,16.55,5.461
131.58333,537.26,16.45,5.374
131.75,543.59,16.37,5.276
131.91667,549.59,16.3,5.186
132.08333,555.93,16.25,5.095
132.25,562.13,16.19,5.005
132.41667,568.38,16.14,4.923
132.58333,575.57,16.08,4.819
132.75,582.19,16.03,4.732
132.91667,589.19,15.98,4.629
133.08333,596.01,15.92,4.535
133.25,602.39,15.88,4.448
133.41667,609.53,15.82,4.356
133.58333,616.11,15.77,4.276
133.75,623.4,15.71,4.177
133.91667,630.49,15.66,4.088
134.08333,636.8,15.62,4.012
134.25,643.88,15.57,3.915
134.41667,650.16,15.52,3.838
134.58333,656.98,15.48,3.756
134.75,662.78,15.44,3.68
134.91667,669.01,15.4,3.599
135.08333,675.26,15.37,3.525
135.25,682.29,15.33,3.444
135.41667,688.74,15.3,3.367
135.58333,695.19,15.27,3.287
135.75,701.99,15.23,3.206
135.91667,708.93,15.2,3.122
136.08333,715.56,15.17,3.0465
136.25,722.155,15.14,2.969
136.41667,728.41,15.11,2.9
136.58333,735.93,15.08,2.811
136.75,743.17,15.05,2.73
136.91667,750,15.02,2.654
137.08333,757.215,14.995,2.574
137.25,764.15,14.96,2.502
137.41667,771.49,14.94,2.424
137.58333,778.37,14.92,2.348
137.75,785.74,14.9,2.265
137.91667,792.65,14.88,2.188
138.08333,798.98,14.86,2.127
138.25,804.45,14.85,2.063
138.41667,810.84,14.83,2.001
138.58333,818.01,14.82,1.928
138.75,824.51,14.81,1.854
138.91667,831,14.8,1.791
